film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update,special_features,fulltext
85,Bonnie Holocaust,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,2006,1,4,0.99,63,29.99,G,50:59.0,"{""Deleted Scenes""}",'ancient':20 'bonni':1 'crocodil':10 'fast':5 'fast-pac':4 'find':16 'holocaust':2 'japan':21 'moos':18 'must':15 'pace':6 'robot':13 'stori':7
89,Borrowers Bedazzled,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,2006,1,7,0.99,63,22.99,G,50:59.0,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'bedazzl':2 'borrow':1 'brilliant':4 'defeat':15 'epistl':5 'fun':21 'hous':22 'man':17 'must':14 'sumo':11 'teacher':8 'wrestler':12
95,Breakfast Goldfinger,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,2006,1,5,4.99,123,18.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes""}","'beauti':4 'berlin':18 'breakfast':1 'fight':14 'goldfing':2 'moos':16 'must':13 'reflect':5 'student':8,11"
97,Bride Intrigue,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,2006,1,7,0.99,56,24.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'bride':1 'epic':4 'intrigu':2 'man':16 'monkey':11 'must':13 'new':18 'orlean':19 'robot':8 'tale':5 'vanquish':14
104,Bugsy Song,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,2006,1,4,2.99,119,17.99,G,50:59.0,{Commentaries},'agent':12 'awe':5 'awe-inspir':4 'boat':15 'bugsi':1 'charact':7 'find':18 'first':23 'inspir':6 'man':24 'must':17 'secret':11 'song':2 'space':25 'squirrel':20 'station':26 'studi':8
106,Bulworth Commandments,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,2006,1,4,2.99,61,14.99,G,50:59.0,{Trailers},'amaz':4 'bulworth':1 'command':2 'cow':9 'display':5 'mad':8 'must':14 'outback':21 'pioneer':12 'redeem':15 'sumo':17 'wrestler':18
107,Bunch Minds,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,2006,1,4,2.99,63,13.99,G,50:59.0,"{""Behind the Scenes""}","'bunch':1 'chef':17 'convent':21 'emot':4 'escap':14 'feminist':8,11 'mind':2 'must':13 'mysql':20 'pastri':16 'stori':5"
109,Butterfly Chocolat,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,2006,1,3,0.99,89,17.99,G,50:59.0,"{""Behind the Scenes""}",'butterfli':1 'chocolat':2 'compos':11 'conquer':14 'fate':4 'girl':8 'husband':16 'must':13 'shark':19 'stori':5 'tank':20
119,Caper Motions,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,2006,1,6,0.99,176,22.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes""}",'caper':1 'car':11 'convent':20 'fate':4 'moos':8 'motion':2 'must':13 'mysql':19 'pursu':14 'saga':5 'woman':16
123,Casablanca Super,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,2006,1,6,4.99,85,22.99,G,50:59.0,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'agent':18 'amaz':4 'casablanca':1 'crocodil':8 'first':21 'forens':11 'man':22 'must':14 'panorama':5 'psychologist':12 'pursu':15 'secret':17 'space':23 'station':24 'super':2
127,Cat Coneheads,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,2006,1,5,4.99,112,14.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'ancient':21 'boy':19 'cat':1 'conehead':2 'confront':17 'fast':5 'fast-pac':4 'girl':10 'india':22 'must':16 'pace':6 'panorama':7 'shark':14
128,Catch Amistad,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,2006,1,7,0.99,183,10.99,G,50:59.0,"{Trailers,""Behind the Scenes""}",'amistad':2 'bore':4 'catch':1 'discov':14 'feminist':11 'lumberjack':8 'must':13 'nigeria':18 'reflect':5 'woman':16
154,Clash Freddy,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,2006,1,6,2.99,81,12.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'amaz':4 'astronaut':16 'australia':18 'clash':1 'compos':8 'escap':14 'freddi':2 'must':13 'squirrel':11 'yarn':5
140,Cheaper Clyde,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,1,6,0.99,87,23.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'ancient':19 'charact':5 'cheaper':1 'clyde':2 'discov':15 'dog':17 'emot':4 'girl':12 'japan':20 'must':14 'pioneer':9 'studi':6
145,Chisum Behavior,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,2006,1,5,4.99,124,25.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'ancient':19 'behavior':2 'butler':12 'car':17 'chisum':1 'documentari':5 'epic':4 'india':20 'kill':15 'must':14 'sumo':8 'wrestler':9
146,Chitty Lock,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,1,6,2.99,107,24.99,G,50:59.0,{Commentaries},'administr':12 'boat':8 'bore':4 'chitti':1 'databas':11 'epistl':5 'first':21 'kill':15 'lock':2 'man':22 'must':14 'space':23 'station':24 'sumo':17 'wrestler':18
153,Citizen Shrek,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,2006,1,7,0.99,165,18.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'charact':5 'citizen':1 'fanci':4 'husband':13 'must':15 'outback':21 'redeem':16 'robot':18 'shrek':2 'studi':6 'technic':9 'writer':10
156,Clerks Angels,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,2006,1,3,4.99,164,15.99,G,50:59.0,{Commentaries},'angel':2 'baloon':20 'clerk':1 'confront':15 'display':5 'girl':12 'man':17 'must':14 'sumo':8 'thrill':4 'wrestler':9
165,Coldblooded Darling,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,2006,1,7,4.99,70,27.99,G,50:59.0,"{Trailers,""Deleted Scenes""}",'brilliant':4 'coldblood':1 'darl':2 'dentist':8 'find':14 'gulf':19 'mexico':21 'moos':11 'must':13 'panorama':5 'student':16
166,Color Philadelphia,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,2006,1,6,2.99,149,19.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'car':8 'color':1 'crocodil':11 'desert':20 'monkey':16 'must':13 'panorama':5 'philadelphia':2 'sahara':19 'sink':14 'thought':4
178,Connection Microcosmos,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,2006,1,6,0.99,115,25.99,G,50:59.0,"{""Deleted Scenes"",""Behind the Scenes""}","'connect':1 'crocodil':8 'documentari':5 'face':14 'fate':4 'first':19 'husband':11,16 'man':20 'microcosmo':2 'must':13 'space':21 'station':22"
179,Conquerer Nuts,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,2006,1,4,4.99,173,14.99,G,50:59.0,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'conquer':1 'drama':5 'escap':15 'mad':8 'man':12 'mine':21 'must':14 'nut':2 'pioneer':17 'scientist':9 'shaft':22 'taut':4
182,Control Anthem,A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery,2006,1,7,4.99,185,9.99,G,50:59.0,{Commentaries},'anthem':2 'battl':14 'cat':16 'control':1 'documentari':5 'fate':4 'monasteri':19 'must':13 'robot':8 'student':11
193,Crossroads Casualties,A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback,2006,1,5,2.99,153,20.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'astronaut':12 'battl':15 'casualti':2 'compos':17 'crossroad':1 'documentari':5 'intrepid':4 'must':14 'outback':20 'sumo':8 'wrestler':9
196,Cruelty Unforgiven,A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria,2006,1,7,0.99,69,29.99,G,50:59.0,"{""Deleted Scenes"",""Behind the Scenes""}",'battl':14 'brilliant':4 'car':8 'cruelti':1 'dentist':16 'moos':11 'must':13 'nigeria':18 'tale':5 'unforgiven':2
202,Daddy Pittsburgh,A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico,2006,1,5,4.99,161,26.99,G,50:59.0,"{""Deleted Scenes"",""Behind the Scenes""}",'confront':15 'daddi':1 'epic':4 'explor':17 'gulf':20 'mexico':22 'must':14 'pittsburgh':2 'shark':9 'stori':5 'student':12
203,Daisy Menagerie,A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India,2006,1,5,4.99,84,9.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'ancient':21 'chef':11 'compos':19 'daisi':1 'fast':5 'fast-pac':4 'india':22 'menageri':2 'monkey':14 'must':16 'pace':6 'pastri':10 'saga':7 'sink':17
206,Dancing Fever,A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank,2006,1,6,0.99,144,25.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'crocodil':17 'danc':1 'explor':8 'face':15 'fever':2 'forens':11 'must':14 'psychologist':12 'shark':20 'stori':5 'stun':4 'tank':21
212,Darn Forrester,A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat,2006,1,7,4.99,185,14.99,G,50:59.0,"{""Deleted Scenes""}",'boat':22 'darn':1 'explor':12 'fate':4 'forrest':2 'jet':21 'must':14 'shark':9 'stori':5 'succumb':15 'technic':17 'writer':18
216,Day Unfaithful,A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat,2006,1,3,4.99,113,16.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'boat':23 'compos':8 'day':1 'documentari':5 'find':15 'mad':11 'must':14 'scientist':12 'stun':4 'technic':17 'u':22 'u-boat':21 'unfaith':2 'writer':18
217,Dazed Punk,A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park,2006,1,6,4.99,120,20.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'abandon':23 'action':5 'action-pack':4 'amus':24 'daze':1 'discov':17 'forens':19 'must':16 'pack':6 'park':25 'pioneer':10 'psychologist':20 'punk':2 'stori':7 'technic':13 'writer':14
224,Desperate Trainspotting,A Epic Yarn of a Forensic Psychologist And a Teacher who must Face a Lumberjack in California,2006,1,7,4.99,81,29.99,G,50:59.0,"{""Deleted Scenes""}",'california':19 'desper':1 'epic':4 'face':15 'forens':8 'lumberjack':17 'must':14 'psychologist':9 'teacher':12 'trainspot':2 'yarn':5
226,Destiny Saturday,A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia,2006,1,4,4.99,56,20.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}","'conquer':14 'crocodil':8,11 'destini':1 'drama':5 'explor':16 'georgia':19 'must':13 'saturday':2 'soviet':18 'touch':4"
230,Diary Panic,A Thoughtful Character Study of a Frisbee And a Mad Cow who must Outgun a Man in Ancient India,2006,1,7,2.99,107,20.99,G,50:59.0,"{Commentaries,""Behind the Scenes""}",'ancient':20 'charact':5 'cow':13 'diari':1 'frisbe':9 'india':21 'mad':12 'man':18 'must':15 'outgun':16 'panic':2 'studi':6 'thought':4
237,Divorce Shining,A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India,2006,1,3,2.99,47,21.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes""}",'ancient':18 'cat':16 'crocodil':8 'discov':14 'divorc':1 'india':19 'must':13 'saga':5 'shine':2 'student':11 'unbeliev':4
238,Doctor Grail,A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback,2006,1,4,2.99,57,29.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'doctor':1 'drama':5 'forens':16 'grail':2 'insight':4 'must':13 'outback':20 'psychologist':17 'reach':14 'waitress':11 'woman':8
239,Dogma Family,A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans,2006,1,5,4.99,122,16.99,G,50:59.0,{Commentaries},'administr':10 'astronaut':18 'brilliant':4 'charact':5 'databas':9 'dogma':1 'famili':2 'monkey':13 'must':15 'new':20 'orlean':21 'studi':6 'succumb':16
247,Downhill Enough,A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert,2006,1,3,0.99,47,19.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes""}",'chef':9 'desert':22 'downhil':1 'emot':4 'enough':2 'forens':12 'monkey':18 'must':15 'pastri':8 'psychologist':13 'sahara':21 'succumb':16 'tale':5
249,Dracula Crystal,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,2006,1,7,0.99,176,26.99,G,50:59.0,{Commentaries},'abandon':19 'cat':11 'crystal':2 'dracula':1 'feminist':8 'find':14 'frisbe':16 'fun':20 'hous':21 'must':13 'reflect':5 'thrill':4
257,Drumline Cyclone,A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies,2006,1,3,0.99,110,14.99,G,50:59.0,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'canadian':21 'cyclon':2 'drumlin':1 'insight':4 'mad':17 'monkey':8 'must':14 'outrac':15 'panorama':5 'rocki':22 'scientist':18 'sumo':11 'wrestler':12
260,Dude Blindness,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,2006,1,3,4.99,132,9.99,G,50:59.0,"{Trailers,""Deleted Scenes""}",'abandon':19 'blind':2 'dude':1 'face':14 'frisbe':16 'fun':20 'hous':21 'husband':8 'lumberjack':11 'must':13 'reflect':5 'stun':4
261,Duffel Apocalypse,A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention,2006,1,5,0.99,171,13.99,G,50:59.0,{Commentaries},'apocalyps':2 'boat':8 'challeng':14 'convent':20 'display':5 'duffel':1 'emot':4 'explor':11 'madman':16 'must':13 'mysql':19
264,Dwarfs Alter,A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan,2006,1,6,2.99,101,13.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'alter':2 'ancient':18 'challeng':14 'compos':16 'dog':11 'dwarf':1 'emot':4 'girl':8 'japan':19 'must':13 'yarn':5
271,Easy Gladiator,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,2006,1,5,4.99,148,12.99,G,50:59.0,"{Trailers,Commentaries,""Behind the Scenes""}",'ancient':19 'chef':17 'easi':1 'fate':4 'girl':11 'gladiat':2 'india':20 'monkey':8 'must':13 'overcom':14 'pastri':16 'stori':5
280,Empire Malkovich,A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House,2006,1,7,0.99,177,26.99,G,50:59.0,"{""Deleted Scenes""}",'abandon':19 'amaz':4 'car':16 'cat':11 'empir':1 'face':14 'feminist':8 'fun':20 'hous':21 'malkovich':2 'must':13 'stori':5
281,Encino Elf,A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon,2006,1,6,0.99,143,9.99,G,50:59.0,"{Trailers,""Behind the Scenes""}",'astound':4 'baloon':19 'confront':14 'drama':5 'elf':2 'encino':1 'feminist':8 'husband':16 'must':13 'teacher':11
289,Eve Resurrection,A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon,2006,1,5,4.99,66,25.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes""}",'administr':15 'awe':5 'awe-inspir':4 'baloon':23 'challeng':18 'chef':11 'databas':14 'eve':1 'inspir':6 'must':17 'pastri':10 'resurrect':2 'teacher':20 'yarn':7
292,Excitement Eve,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006,1,3,0.99,51,20.99,G,50:59.0,{Commentaries},'brilliant':4 'car':11 'conquer':14 'crocodil':16 'documentari':5 'eve':2 'excit':1 'monkey':8 'must':13 'shark':19 'tank':20
293,Exorcist Sting,A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin,2006,1,6,2.99,167,17.99,G,50:59.0,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'berlin':20 'conquer':15 'dog':8 'drama':5 'exorcist':1 'mad':17 'must':14 'scientist':18 'sting':2 'sumo':11 'touch':4 'wrestler':12
297,Extraordinary Conquerer,A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin,2006,1,6,2.99,122,29.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes""}",'berlin':19 'conquer':2 'dog':8 'extraordinari':1 'face':14 'feminist':11 'forens':16 'must':13 'psychologist':17 'stori':5 'stun':4
302,Fantasia Park,A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia,2006,1,5,2.99,131,29.99,G,50:59.0,{Commentaries},'australia':20 'documentari':5 'fantasia':1 'feminist':18 'mad':8 'must':15 'outrac':16 'park':2 'scientist':9 'shark':13 'thought':4
304,Fargo Gandhi,A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback,2006,1,3,2.99,130,28.99,G,50:59.0,"{""Deleted Scenes""}",'chef':9 'crocodil':12 'fargo':1 'gandhi':2 'must':14 'outback':20 'pastri':8 'reach':15 'reflect':5 'teacher':17 'thrill':4
313,Fidelity Devil,A Awe-Inspiring Drama of a Technical Writer And a Composer who must Reach a Pastry Chef in A U-Boat,2006,1,5,4.99,118,11.99,G,50:59.0,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'awe':5 'awe-inspir':4 'boat':25 'chef':20 'compos':14 'devil':2 'drama':7 'fidel':1 'inspir':6 'must':16 'pastri':19 'reach':17 'technic':10 'u':24 'u-boat':23 'writer':11
318,Firehouse Vietnam,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,2006,1,7,0.99,103,14.99,G,50:59.0,"{Commentaries,""Deleted Scenes""}",'awe':5 'awe-inspir':4 'boat':11 'boy':14 'charact':7 'chef':20 'desert':24 'firehous':1 'inspir':6 'kill':17 'must':16 'pastri':19 'sahara':23 'studi':8 'vietnam':2
322,Flatliners Killer,A Taut Display of a Secret Agent And a Waitress who must Sink a Robot in An Abandoned Mine Shaft,2006,1,5,2.99,100,29.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes""}",'abandon':20 'agent':9 'display':5 'flatlin':1 'killer':2 'mine':21 'must':14 'robot':17 'secret':8 'shaft':22 'sink':15 'taut':4 'waitress':12
350,Garden Island,A Unbelieveable Character Study of a Womanizer And a Madman who must Reach a Man in The Outback,2006,1,3,4.99,80,21.99,G,50:59.0,"{Trailers,""Behind the Scenes""}",'charact':5 'garden':1 'island':2 'madman':12 'man':17 'must':14 'outback':20 'reach':15 'studi':6 'unbeliev':4 'woman':9
354,Ghost Groundhog,A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India,2006,1,6,4.99,85,18.99,G,50:59.0,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'ancient':18 'brilliant':4 'car':16 'compos':11 'ghost':1 'groundhog':2 'india':19 'madman':8 'must':13 'panorama':5 'succumb':14
357,Gilbert Pelican,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,2006,1,7,0.99,114,13.99,G,50:59.0,"{Trailers,Commentaries}",'conquer':14 'crocodil':16 'fate':4 'feminist':11 'gilbert':1 'man':8 'manhattan':19 'must':13 'pelican':2 'penthous':20 'tale':5
